parameter,parameter_default,parameter_perturbed_5_percent,population_2100_std,population_2100_new,std/new,(new-std)/std,ABS((new-std)/std),perturbed_param_csv_path
agr_inp_init,5000000000.0,5250000000.0,3985193933.2464,3984142846.2274,1.0003,-0.0002637480224554724,0.0002637480224554724,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/agr_inp_init_perturbed.csv
agr_mtl_toxic_index,1.0,1.05,3985193933.2464,3972575319.3776,1.0032,-0.0031663738528621733,0.0031663738528621733,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/agr_mtl_toxic_index_perturbed.csv
arable_land_init,900000000.0,945000000.0,3985193933.2464,3962268685.2450,1.0058,-0.005752605365110968,0.005752605365110968,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/arable_land_init_perturbed.csv
assim_half_life_1970,1.5,1.575,3985193933.2464,3962929642.3144,1.0056,-0.0055867521894559895,0.0055867521894559895,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/assim_half_life_1970_perturbed.csv
avg_life_land_norm,1000.0,1050.0,3985193933.2464,4000279981.6065,0.9962,0.003785524271299995,0.003785524271299995,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/avg_life_land_norm_perturbed.csv
des_compl_fam_size_norm,3.8,3.9899999999999998,3985193933.2464,4407789533.9945,0.9041,0.10604141425152912,0.10604141425152912,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/des_compl_fam_size_norm_perturbed.csv
des_food_ratio_dfr,2.0,2.1,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/des_food_ratio_dfr_perturbed.csv
des_ppoll_index_DPOLX,1.2,1.26,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/des_ppoll_index_DPOLX_perturbed.csv
des_res_use_rt_DNRUR,4800000000.0,5040000000.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/des_res_use_rt_DNRUR_perturbed.csv
food_short_perc_del,2.0,2.1,3985193933.2464,3985129605.8956,1.0000,-1.614158606175747e-05,1.614158606175747e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_34_02/food_short_perc_del_perturbed.csv
