param_perturbed_5_percent_1901yr,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,nr_resources,population
agr_inp_init,1.40812535105e-07,1.57722141799e-06,-3.57135251259e-09,-0.0335300033629,0.000730972321856,-3.57135251259e-09,0.0,0.000553591760434,0.0,0.00298804275995,8.61772005483e-06,0.000176525801601,0.000214691694662,0.0192145779101,nan,-5.20359776857e-06,1.40812535105e-07,0.000360160855109,0.0181566054244,0.0162364906319,nan,5.39859922576e-11,0.0033328046058,-3.57135251259e-09,1.83338815767e-07,5.39859922576e-11,0.00404528475626,5.17122401485e-05,0.0,0.00126867604245,0.000557308187264,-4.08754681009e-07,0.000925449994515,3.31670823502e-05,0.00379293597772,0.0219266155417,0.00096998937671,0.000114373188977,5.39859922576e-11,1.40812535105e-07,nan,-4.08754681009e-07,0.000304360285021
agr_mtl_toxic_index,-3.97466052603e-08,1.85379596983e-06,1.03716744469e-09,-1.46386819157e-08,-4.6327821324e-08,1.03716744469e-09,0.0,8.5406449602e-11,0.0,8.49160779389e-10,1.08484733434e-12,2.05077583153e-11,2.22531833328e-11,0.0231967816754,nan,-5.49711956323e-13,-3.97466052603e-08,-2.98154137391e-10,0.0232644406703,0.0233883045026,nan,-1.49003968886e-11,5.9979786146e-10,1.03716744469e-09,-4.17591527017e-10,-1.49003968886e-11,-3.35294769761e-08,3.32330757929e-11,0.0,-7.91583588235e-10,-3.79754553768e-11,1.64231794104e-13,3.37877100938e-09,-1.36093764044e-11,-7.17461003229e-10,-3.89129505373e-09,-1.0758705693e-09,7.39661639356e-12,-1.49003968886e-11,-3.97466052603e-08,nan,1.64231794104e-13,4.12766455356e-11
arable_land_init,1.80282957061e-08,-2.98981139631e-07,-4.49668000184e-10,0.0844836877904,-0.00106289604215,-4.49668000184e-10,0.0,0.0026723442094,0.0,0.0148230538452,0.0494211656456,0.000850133105915,0.00103326663306,-0.00451819710964,nan,0.000147471966272,1.80282957061e-08,-0.000618962172766,-0.00582350117643,-0.00821882498874,nan,8.02626423112e-12,0.0161243773175,-4.49668000184e-10,8.50120215252e-07,8.02626423112e-12,0.0172254778683,8.91699563157e-05,0.0,-0.0021671466169,0.00175170716231,3.87617976943e-07,-0.00143154955024,5.65524384828e-05,0.0168420811442,-0.0262303860547,-0.00306150112573,0.000544016211184,8.02626423112e-12,1.80282957061e-08,nan,3.87617976943e-07,0.00146535566725
assim_half_life_1970,2.39323216145e-14,0.0229332672041,6.81230256053e-15,-1.46880980293e-06,1.49525125045e-08,6.81230256053e-15,0.0,-6.50949049107e-07,0.0,-2.40152375233e-06,4.34320482837e-08,-2.04972341571e-07,-2.4822535072e-07,1.31749621476e-07,nan,-1.58575653095e-08,2.39323216145e-14,1.38344633387e-08,2.51369909801e-07,5.84331623473e-07,nan,2.19187950701e-15,-3.98014043218e-06,6.81230256053e-15,-1.46840389463e-05,2.19187950701e-15,-1.69312613168e-06,-1.1623835922e-08,0.0,4.78077231416e-08,-2.92896456334e-07,1.78917413344e-11,2.44122272462e-08,-1.10064962302e-08,-2.42261759184e-06,4.35324031104e-06,1.23142464127e-07,-1.23344647585e-07,2.19187950701e-15,2.39323216145e-14,nan,1.78917413344e-11,-3.5257141826e-07
avg_life_land_norm,0.0,-5.436162066e-11,0.0,4.53535378281e-05,-2.27234342164e-07,0.0,0.0,1.49559455361e-06,0.0,8.88500165252e-06,5.27890923896e-05,4.71746290969e-07,5.71667865637e-07,-9.86372125514e-07,nan,8.17505201211e-08,0.0,-2.22181486324e-07,-1.60802770043e-06,-3.08153601848e-06,nan,0.0,9.12538014961e-06,0.0,3.60721337346e-10,0.0,4.71997214095e-06,3.37915906427e-08,0.0,-7.66959635131e-07,1.02825595853e-06,1.32867917226e-10,-3.81971698515e-07,2.09084096582e-08,6.22204352273e-06,-1.55558998635e-05,-1.09643540195e-06,2.86944762564e-07,0.0,0.0,nan,1.32867917226e-10,8.11746926836e-07
des_compl_fam_size_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
des_food_ratio_dfr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
des_ppoll_index_DPOLX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
des_res_use_rt_DNRUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
food_short_perc_del,0.0,8.22299122328e-10,0.0,-4.87951520813e-05,3.78250367161e-07,0.0,0.0,7.46951990893e-07,0.0,-0.00240148688295,8.45012861331e-09,2.35863732128e-07,2.85942647797e-07,1.23888505791e-05,nan,-5.66184416717e-09,0.0,3.26079995428e-07,1.57741212499e-05,2.17854567615e-05,nan,0.0,4.55142290946e-06,0.0,-1.39818780172e-07,0.0,2.61534781776e-06,4.46721305275e-08,0.0,1.12939324716e-06,6.83312151332e-07,-3.5801883956e-10,6.05639002006e-07,2.89627712287e-08,3.31614877232e-06,-8.74146074801e-06,8.65772356535e-07,1.44439006137e-07,0.0,0.0,nan,-3.5801883956e-10,4.05952549168e-07
