param_perturbed_5_percent_2100yr,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,nr_resources,population
fr_agr_inp_pers_mtl,1.0,0.961030962051,1.0,0.991614346356,0.992413925138,1.0,1.0,1.00209611571,1.0,0.996629300728,0.992221101639,1.00357057074,1.00419598039,0.963563073106,1.00050432997,1.00159350544,1.0,0.992278364895,0.964555604096,0.965529028594,0.994967071777,1.0,0.995739802914,1.0,1.00561067628,1.0,0.999704152158,1.00097615656,1.0,0.992118579748,1.00103367596,0.996186124494,0.992062974077,1.00098902843,0.997408446981,0.998484808387,0.995803655298,1.00352330338,1.0,1.0,0.988582677896,0.996186124494,1.00317956542
frac_res_pers_mtl,1.0,0.9786073941,1.0,0.993077340684,0.993284449089,1.0,1.0,0.999833533114,1.0,0.995768658062,0.991724501994,1.0006406363,1.00055900877,0.98005669384,0.997957635128,1.00159279543,1.0,0.993447848547,0.980644285267,0.980525259922,0.992436755612,1.0,0.994959250567,1.0,1.0027799357,1.0,0.997724108771,0.999446512025,1.0,0.9932658163,0.999623180777,0.996155541226,0.993111190599,1.00113157196,0.995965378621,0.99807698939,0.996713342827,1.00106378737,1.0,1.0,0.986858070704,0.996155541226,1.00058159684
hlth_serv_impact_del,1.0,1.00294836841,1.0,1.00283546219,1.0044354064,1.0,1.0,1.00070382066,1.0,1.00209134249,0.999877716892,0.996215615151,0.994919120889,1.00278511242,0.918548048097,0.999645889709,1.0,1.00532128557,1.00281658406,1.00283892138,0.940388093575,1.0,0.995950390329,1.0,0.999958728102,1.0,0.997620129025,1.0019741578,1.0,1.00508958929,1.00387598479,1.00000727839,1.00475915411,1.00003336984,0.996616502139,1.00231504174,0.974439420506,0.998399043482,1.0,1.0,0.967471048026,1.00000727839,0.99833857839
income_expect_avg_time,1.0,0.981792612447,1.0,1.00066707254,0.988711324002,1.0,1.0,1.00282401201,1.0,0.998263552677,0.998851384276,0.994525133129,0.992203641687,0.982760719426,0.979025953423,1.0066888575,1.0,0.978494573487,0.982431265515,0.982154621691,0.973484119974,1.0,0.997171083599,1.0,1.00225212425,1.0,0.998616664371,0.987780691618,1.0,0.985237436897,0.985321131855,0.997469553194,0.986964405897,0.998910869734,0.997815678443,0.981755123382,0.994764277429,0.997984923694,1.0,1.0,0.967277252167,0.997469553194,0.998202410249
ind_mtl_emiss_fact,1.0,0.9786073941,1.0,0.993077340684,0.993284449089,1.0,1.0,0.999833533114,1.0,0.995768658062,0.991724501994,1.0006406363,1.00055900877,0.98005669384,0.997957635128,1.00159279543,1.0,0.993447848547,0.980644285267,0.980525259922,0.992436755612,1.0,0.994959250567,1.0,1.0027799357,1.0,0.997724108771,0.999446512025,1.0,0.9932658163,0.999623180777,0.996155541226,0.993111190599,1.00113157196,0.995965378621,0.99807698939,0.996713342827,1.00106378737,1.0,1.0,0.986858070704,0.996155541226,1.00058159684
ind_mtl_toxic_index,1.0,0.9786073941,1.0,0.993077340684,0.993284449089,1.0,1.0,0.999833533114,1.0,0.995768658062,0.991724501994,1.0006406363,1.00055900877,0.98005669384,0.997957635128,1.00159279543,1.0,0.993447848547,0.980644285267,0.980525259922,0.992436755612,1.0,0.994959250567,1.0,1.0027799357,1.0,0.997724108771,0.999446512025,1.0,0.9932658163,0.999623180777,0.996155541226,0.993111190599,1.00113157196,0.995965378621,0.99807698939,0.996713342827,1.00106378737,1.0,1.0,0.986858070704,0.996155541226,1.00058159684
ind_out_in_1970,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ind_out_pc_des,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
industrial_capital_init,1.0,1.08601611797,1.0,0.989342232914,1.05579949866,1.0,1.0,1.01199257861,1.0,0.994747194464,1.00113147986,1.02575021939,1.03366221482,1.08182008236,1.08574367451,0.997277190497,1.0,1.05872198695,1.08467238796,1.08668460761,1.0810158891,1.0,1.00493989251,1.0,0.989231407212,1.0,1.01206014906,1.05974982913,1.0,1.05777268006,1.07299969343,1.00453340912,1.05654761181,0.999610032189,1.00858295645,1.09273735088,1.03614272863,1.01839880604,1.0,1.0,1.0702224778,1.00453340912,1.01926921971
inherent_land_fert,1.0,1.19241099704,1.0,0.997187840996,1.15639978287,1.0,1.0,0.99481063172,1.0,0.978724878521,1.00253147838,1.01989752843,1.03465117918,1.18532142903,1.18648282313,0.980460525911,1.0,1.18218498341,1.20019450029,1.21426090249,1.18245750191,1.0,1.00856322281,1.0,0.930764222067,1.0,1.02406378284,1.11778648109,1.0,1.1755388339,1.14607086411,1.03035745313,1.16548942944,0.974425656935,1.01648777527,1.24525414851,1.09133150004,1.00655136523,1.0,1.0,1.16320010028,1.03035745313,1.0080702734
labor_force_partic,1.0,1.00085031691,1.0,1.04988535584,1.0005640601,1.0,1.0,1.00011643609,1.0,0.999948947211,1.00000939825,1.00026529844,1.00034939261,1.00080876321,1.00087495675,0.999976592007,1.0,1.00059000972,1.00083680137,1.00085649896,1.00083352856,1.0,1.00005569086,1.0,0.999885797243,1.0,1.00013478368,1.00060042456,1.0,1.00058119989,1.00072749713,1.00004685779,1.00057020367,1.00000260558,1.00009779137,1.00091267467,1.00037407183,1.00018639415,1.0,1.0,1.00072494733,1.00004685779,1.00019575382
labor_util_fr_del_init,1.0,0.999018982873,1.0,1.00012541555,0.999340390653,1.0,1.0,0.999868064184,1.0,1.00005518589,0.999990541238,0.999693450212,0.999592402422,0.999066870214,0.998962220483,1.00002183079,1.0,0.999313256168,0.999034696993,0.99901249226,0.999010736879,1.0,0.999922152094,1.0,1.00013112229,1.0,0.999838190849,0.999307214317,1.0,0.999322662509,0.999156177554,0.999948041117,0.999334238046,1.00000217098,0.999880937448,0.998948909204,0.99956661191,0.99978848948,1.0,1.0,0.999124635529,0.999948041117,0.999775864923
labor_util_fr_del_time,1.0,1.00002800525,1.0,1.00056977171,1.00001618596,1.0,1.0,1.00000160187,1.0,0.999999606545,1.00000285464,1.0000057101,1.00000694042,1.00002658399,1.00001494957,1.00000299505,1.0,1.00001898221,1.00002731073,1.00002771019,1.00001487737,1.0,0.999992396686,1.0,0.999996217832,1.0,1.00000198172,1.00001996508,1.0,1.00001826188,1.00002341096,1.00000191638,1.00001720846,1.00000209406,1.00000087094,1.00002847684,1.00001233798,1.00000545982,1.0,1.0,1.00000167478,1.00000191638,1.00000452351
land_fertility_init,1.0,1.0324518962,1.0,0.998706396534,1.02670836193,1.0,1.0,1.00051400099,1.0,1.0002984091,1.00013388097,1.01019345765,1.01702230087,1.03089949529,1.05754208153,1.00590123107,1.0,1.02599549677,1.03205341857,1.03275119498,1.05417844999,1.0,1.00688170037,1.0,0.996298654917,1.0,1.01146580326,1.02338776873,1.0,1.02605247468,1.03152973683,1.00003149247,1.02626824587,0.99873293337,1.00918643062,1.03409700935,1.01954523859,1.00425499998,1.0,1.0,1.04810585322,1.00003149247,1.00542422468
land_fr_harvested,1.0,1.19764695313,1.0,0.996922373183,1.16137290973,1.0,1.0,0.994308119131,1.0,0.978886985399,1.00232934563,1.02109072539,1.03715750693,1.19037088702,1.19863912192,0.982873247658,1.0,1.18697211702,1.2054494995,1.21965639645,1.19365560033,1.0,1.00986339349,1.0,0.976885010893,1.0,1.02620327373,1.12129098635,1.0,1.1803510311,1.15146984216,1.03011880625,1.17036217999,0.974152631474,1.01819971205,1.25090469345,1.09497058452,1.00666571925,1.0,1.0,1.17302069204,1.03011880625,1.00840495263
life_expect_norm,1.0,0.723812293444,1.0,1.10893620196,0.873949213932,1.0,1.0,0.891188010699,1.0,1.06782737216,0.98995532524,0.878947887707,0.87936775503,0.737828801796,0.907912909558,1.05510960324,1.0,0.859995874684,0.730410828243,0.724427454839,0.899561999237,1.0,1.00809343042,1.0,1.06248300217,1.0,1.00060735135,0.799976497196,1.0,0.863459586975,0.802447990422,0.960291317779,0.868696041732,0.990634719997,1.00398415926,0.700280451158,0.937920233305,0.881751373971,1.0,1.0,0.906399883813,0.960291317779,0.883723384802
lifet_perc_del,1.0,0.974545003532,1.0,1.00484995082,0.987907530078,1.0,1.0,0.995021349498,1.0,1.00210010598,0.998669600422,0.992017328896,0.992263250211,0.975856340926,0.9916448371,1.0076739617,1.0,0.983946807518,0.975242620207,0.97473019387,0.988465438655,1.0,0.998906991628,1.0,1.00385969571,1.0,0.989823884194,0.982669005252,1.0,0.984877741746,0.981546672496,0.996552970269,0.986391401174,0.998871843221,0.995095780127,0.972824753916,0.994642242691,0.992779364157,1.0,1.0,0.987014364478,0.996552970269,0.993239739068
max_tot_fert_norm,1.0,0.888472529322,1.0,1.02436895033,0.939517147015,1.0,1.0,0.969856055976,1.0,1.01326908931,0.997255066678,0.964120152867,0.963458643585,0.894113509921,0.868699273571,1.0214938899,1.0,0.931143904,0.891082057127,0.888708938722,0.864809518921,1.0,1.00497171319,1.0,1.01849069219,1.0,1.00142698807,0.921734752699,1.0,0.933174343226,0.914506530606,0.988023717416,0.936413035608,0.997018695034,1.00307142379,0.879898031052,0.966409571361,0.966250379968,1.0,1.0,0.86239588349,0.988023717416,0.966638977557
nr_resources_init,1.0,0.868283922684,1.0,1.02011286671,0.905961750872,1.0,1.0,0.98119014957,1.0,1.00251183301,1.00006280519,0.961862951799,0.948879100124,0.875038416159,0.879055238713,1.04716261919,1.0,0.894505592792,0.871158274973,0.865820491216,0.874530437242,1.0,0.981432809732,1.0,1.02005485423,1.0,0.973977837798,0.909459725921,1.0,0.897260959757,0.894248284577,0.931880880666,0.901627126888,0.972404006156,0.976704018737,0.854323645619,0.937155871741,0.973878342196,1.0,1.0,0.876692283574,0.931880880666,0.971368444038
p_avg_life_agr_inp_1,1.0,0.989330546676,1.0,1.00704432497,0.990764823889,1.0,1.0,1.00070877912,1.0,1.00123701882,1.00757991713,0.999945564079,0.999452898968,0.9896101495,0.992948201324,0.963606485229,1.0,0.988801483095,0.988176533677,0.986274672146,0.991208705163,1.0,0.998986772842,1.0,1.00142026871,1.0,0.998050177996,0.994504232132,1.0,0.989292611677,0.994094592794,0.996206264525,0.990032611083,1.0025709728,0.998269677018,0.981659299614,0.995241452915,1.00040812695,1.0,1.0,0.991070968331,0.996206264525,1.00032135421
p_avg_life_agr_inp_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p_avg_life_ind_cap_1,1.0,1.56721288114,1.0,0.638221007275,1.35157848005,1.0,1.0,1.07300740638,1.0,0.961867762494,0.998706447357,1.14039973942,1.17832776387,1.55481816957,1.48874116483,1.01670522647,1.0,1.39230797071,1.58634458923,1.61045489339,1.44465071512,1.0,1.00446565413,1.0,0.949123357641,1.0,1.04645965485,1.38266857022,1.0,1.37841803135,1.33269836218,1.10570633765,1.3620859532,0.957983340018,1.02499973661,1.68032328639,1.20001301557,1.10692397574,1.0,1.0,1.35720949948,1.10570633765,1.10898686558
p_avg_life_ind_cap_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p_avg_life_serv_cap_1,1.0,1.09104028433,1.0,0.980732317574,1.06652320253,1.0,1.0,1.01113666058,1.0,0.998411115933,0.999201187631,1.02216401771,1.02800073892,1.0871834015,1.04642994436,1.005441084,1.0,1.07340412617,1.09240560272,1.09647534716,1.03819936931,1.0,1.00077247427,1.0,0.989766454244,1.0,1.00863943218,1.01913627137,1.0,1.07150802301,1.06700956242,1.0171204476,1.06879058453,0.991056365324,1.0046543937,1.10319507083,1.00272161363,1.01682819944,1.0,1.0,1.02297607479,1.0171204476,1.01717101828
p_avg_life_serv_cap_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p_fioa_cons_const_1,1.0,0.322657702541,1.0,1.10709987583,0.45990051704,1.0,1.0,0.795079842086,1.0,0.984582355554,1.00580342058,0.631185161788,0.55941317846,0.351054088688,0.359902669158,0.954650327322,1.0,0.428362075644,0.319175403335,0.295277161285,0.329007114183,1.0,0.843855091582,1.0,1.20903419634,1.0,0.776421755021,0.39807326452,1.0,0.435920617847,0.396224637724,0.80484054916,0.447465515284,1.11010140021,0.80455356826,0.267472643271,0.643932813863,0.704902323807,1.0,1.0,0.32727901359,0.80484054916,0.69603851729
p_fioa_cons_const_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p_fr_cap_al_obt_res_2[1],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
p_fr_cap_al_obt_res_2[2],1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
