param_perturbed_5_percent,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,nr_resources,population
agr_inp_init,3.6496380693889504e-07,505173.41688857315,1.915134606703502e-07,0.003555566311754839,0.08133132839076705,1.915134606703502e-07,0.0,463842.9565564272,0.0,0.0005485897231322617,211830.1012406556,425621.516906471,369161.14070264215,163610.30639275807,0.001976226830858408,390234.2317803606,3.6496380693889504e-07,0.09750185103397534,176076.64884631222,192762.0170478011,0.0021662189397326946,2.2601541233297825e-07,0.013392230321659503,1.915134606703502e-07,0.08902418871462575,2.2601541233297825e-07,0.01214923085997523,1375025819.011944,0.0,0.09152137989643229,2934621780.384848,163404777.2278827,0.08577086951000785,19529.731903964264,0.01270550807463861,115506671.36012545,0.010918922286227655,760126.4360493913,2.2601541233297825e-07,3.6496380693889504e-07,0.0024270689940066874,163404777.2278827,1873430.1582978817
agr_mtl_toxic_index,3.7146760177698974e-07,24173938.689716868,2.2012959946748188e-07,0.0021652834940347676,0.22557805680158535,2.2012959946748188e-07,0.0,3811274.6559435376,0.0,0.007448350171478232,7650793.304716564,5411536.120223035,6284933.608688798,6742247.643616134,0.009529758673456522,375766.94134181854,3.7146760177698974e-07,0.2670625665644551,6848395.810964989,6957223.768971524,0.009858826578827033,2.5534326120510684e-07,0.18282310595844153,2.2012959946748188e-07,5.023898657361156,2.5534326120510684e-07,0.16271448328498334,2340297680.9320974,0.0,0.2552817880565414,13938007358.607794,431126717.5006519,0.24095644513733322,65384.793307076994,0.17111956990852875,811753800.4616804,0.05167872638253412,8166011.47460054,2.5534326120510684e-07,3.7146760177698974e-07,0.010367157861802723,431126717.5006519,23472035.92044836
arable_land_init,2.386091976682233e-07,19820773.434436362,2.0607761271825845e-07,0.023112255209169277,3.159844689527013,2.0607761271825845e-07,0.0,19317190.159581292,0.0,0.014268728988130412,38920297.93330319,17617600.52110416,15437344.782917833,6366490.945380363,0.07745190219490983,6537149.501742389,2.386091976682233e-07,3.85442924131178,6885639.105255946,7579281.057276104,0.08568997882623898,1.0660070845615387e-07,0.5398677348390454,2.0607761271825845e-07,3.0893933652353875,1.0660070845615387e-07,0.4908826564561804,53038950891.43124,0.0,3.599898148012796,116513697404.21124,6282495819.412527,3.353280220749442,947367.9728284687,0.514653344154646,4480102029.994374,0.4192811643180945,32121334.083113626,1.0660070845615387e-07,2.386091976682233e-07,0.09717922272847607,6282495819.412527,79154099.77992025
assim_half_life_1970,2.1089614911584734e-07,46230454.02720513,2.1060585889330582e-07,0.004284815697366606,0.46299716568581195,2.1060585889330582e-07,0.0,7763141.5483567845,0.0,0.01453689040703254,14756236.344812214,11153821.683598345,13154870.101170404,1321344.170349146,0.02008536569782277,724330.5160733578,2.1089614911584734e-07,0.5442261868517928,1403351.2958633094,1503851.8550460562,0.020846335987843547,8.776662728535021e-08,0.3880683848156225,2.1060585889330582e-07,9.677585102191511,8.776662728535021e-08,0.33991486920095804,4564789474.375581,0.0,0.5214835044773106,27660493685.738876,835866024.7588288,0.49356549796464094,127204.75010160827,0.35977132550304086,1583201495.285986,0.10758016711027275,16770679.689302377,8.776662728535021e-08,2.1089614911584734e-07,0.022013846701988513,835866024.7588288,48431020.094765656
avg_life_land_norm,2.318072210751077e-07,3234711.730250617,2.2044716274101295e-07,0.0038274995761809773,0.5198513747796015,2.2044716274101295e-07,0.0,2739125.5232708184,0.0,0.006017467139887293,22260665.735770814,3398501.020130734,3898968.493437901,1050900.2132079902,0.017574727705419912,4127546.3242767123,2.318072210751077e-07,0.6539818787692323,1146210.1334081439,1271185.8966110176,0.01909185318560409,1.2308195517291634e-07,0.13732257244534413,2.2044716274101295e-07,0.586487358426693,1.2308195517291634e-07,0.12317799571778197,7849770648.027402,0.0,0.6068149439176074,25113536888.375618,1128459611.443643,0.5592327305004605,243962.16001843286,0.1292973890376492,879647376.6398976,0.06939062147249477,5708056.211689917,1.2308195517291634e-07,2.318072210751077e-07,0.02129777176110568,1128459611.443643,15270318.525439184
des_compl_fam_size_norm,7.410707731443453e-07,60149895.18165125,6.507350087122006e-07,0.026655536411586262,10.10588576900943,6.507350087122006e-07,0.0,212754042.0369483,0.0,0.06909054249490564,15240017.617731335,58761629.538715266,19931969.37542169,18841557.065573663,0.6804233141885732,11610503.327575438,7.410707731443453e-07,11.46186630296898,20213016.001281228,21891254.83748734,0.7002375965558433,3.0183209867950935e-07,2.919565304109353,6.507350087122006e-07,14.160719215090882,3.0183209867950935e-07,2.7946775152489254,122983004905.07281,0.0,10.952576104784642,198418626115.5019,14634651613.499697,10.469207303160292,903695.2961458918,2.8544552675321615,15948632143.795057,2.042422381832304,222396989.21561834,3.0183209867950935e-07,7.410707731443453e-07,0.7249008170017835,14634651613.499697,472824108.28193754
des_food_ratio_dfr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
des_ppoll_index_DPOLX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
des_res_use_rt_DNRUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food_short_perc_del,3.687114181588627e-07,84392.99051784977,2.9246536330041504e-07,5.3984097092792624e-05,0.0033119642202236866,2.9246536330041504e-07,0.0,106607.6202963099,0.0,0.0014643396785086662,293098.5077607465,156510.97670125982,186921.5607536115,24478.988956925517,0.0003905320919383686,36887.88094226861,3.687114181588627e-07,0.004324771328169001,25699.64158396096,27297.644572211117,0.00040843747144930683,2.4994784657385106e-07,0.006330768484782451,2.9246536330041504e-07,0.16726328810199076,2.4994784657385106e-07,0.005597793692206418,106408646.85855916,0.0,0.004079666242991468,709991553.4996372,13164097.745229868,0.0037294559133784484,1120.7515533424946,0.0059165240176160296,27540406.135833174,0.0010168323374383735,236974.95372634672,2.4994784657385106e-07,3.687114181588627e-07,0.00043310839880630707,13164097.745229868,680708.6090315636
