parameter,parameter_default,parameter_perturbed_2_percent,population_2100_std,population_2100_new,std/new,(new-std)/std,ABS((new-std)/std),perturbed_param_csv_path
social_adj_del,20.0,20.4,3985193933.2464,3987929883.1901,0.9993,0.0006865286833048263,0.0006865286833048263,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/social_adj_del_perturbed.csv
social_discount,0.07,0.0714,3985193933.2464,3982105723.2563,1.0008,-0.0007749208800991441,0.0007749208800991441,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/social_discount_perturbed.csv
subsist_food_pc,230.0,234.6,3985193933.2464,3863206990.0467,1.0316,-0.030610039371483436,0.030610039371483436,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/subsist_food_pc_perturbed.csv
t_air_poll_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_air_poll_time_perturbed.csv
t_fcaor_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_fcaor_time_perturbed.csv
t_fert_cont_eff_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_fert_cont_eff_time_perturbed.csv
t_ind_equil_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_ind_equil_time_perturbed.csv
t_land_life_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_land_life_time_perturbed.csv
t_policy_year,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_policy_year_perturbed.csv
t_pop_equil_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_pop_equil_time_perturbed.csv
t_zero_pop_grow_time,4000.0,4080.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/t_zero_pop_grow_time_perturbed.csv
tech_dev_del_TDD,20.0,20.4,3985193933.2464,3985195431.7408,1.0000,3.7601543013766725e-07,3.7601543013766725e-07,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/tech_dev_del_TDD_perturbed.csv
urb_ind_land_dev_time,10.0,10.2,3985193933.2464,3985161086.8599,1.0000,-8.242104927257656e-06,8.242104927257656e-06,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/urb_ind_land_dev_time_perturbed.csv
urban_ind_land_init,8200000.0,8364000.0,3985193933.2464,3985102009.5853,1.0000,-2.306629556451257e-05,2.306629556451257e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/urban_ind_land_init_perturbed.csv
yield_tech_init,1.0,1.02,3985193933.2464,3985186979.0644,1.0000,-1.7450046666769066e-06,1.7450046666769066e-06,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/yield_tech_init_perturbed.csv
